<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.03.09	90.281	90.312	89.630	89.899	28427	0	9
2010.03.10	89.901	90.816	89.896	90.510	25465	0	9
2010.03.11	90.507	90.705	90.206	90.604	25173	0	9
2010.03.12	90.600	91.080	90.166	90.548	29361	0	11
2010.03.15	90.597	90.788	90.352	90.418	27594	0	10
2010.03.16	90.421	90.731	89.974	90.320	33735	0	10
2010.03.17	90.328	90.705	90.027	90.375	32507	0	10
2010.03.18	90.373	90.794	89.762	90.469	36548	0	10
2010.03.19	90.459	90.710	90.331	90.535	24908	0	10
2010.03.22	90.505	90.766	89.830	90.140	23725	0	9
2010.03.23	90.144	90.466	90.127	90.392	27581	0	10
2010.03.24	90.394	92.388	90.346	92.113	36239	0	10
2010.03.25	92.109	92.949	91.757	92.708	33557	0	11
2010.03.26	92.695	92.888	92.301	92.505	31486	0	10
2010.03.29	92.436	92.780	92.350	92.544	30213	0	10
2010.03.30	92.534	93.008	92.116	92.777	33430	0	10
2010.03.31	92.756	93.626	92.746	93.443	42008	0	10
2010.04.01	93.433	94.035	93.278	93.868	33787	0	10
2010.04.02	93.855	94.683	93.618	94.596	23342	0	12
2010.04.05	94.643	94.643	94.079	94.313	20823	0	10
2010.04.06	94.311	94.366	93.657	93.750	33158	0	12
2010.04.07	93.729	94.251	93.145	93.250	33383	0	10
2010.04.08	93.262	93.475	92.827	93.382	33712	0	12
2010.04.09	93.384	93.776	93.109	93.166	29914	0	10
2010.04.12	93.177	93.597	93.027	93.206	31878	0	10
2010.04.13	93.196	93.403	92.570	93.181	36115	0	10
2010.04.14	93.178	93.710	92.821	93.264	36374	0	10
2010.04.15	93.266	93.515	92.864	93.074	35493	0	10
2010.04.16	93.073	93.134	91.898	92.162	42463	0	10
2010.04.19	92.006	92.525	91.595	92.415	36664	0	10
2010.04.20	92.415	93.387	92.388	93.210	32883	0	10
2010.04.21	93.206	93.435	92.931	93.130	33965	0	11
2010.04.22	93.145	93.599	92.738	93.450	40103	0	10
2010.04.23	93.449	94.304	93.306	93.952	36943	0	10
2010.04.26	94.096	94.350	93.887	94.005	36659	0	10
2010.04.27	94.004	94.018	92.811	93.114	45834	0	10
2010.04.28	93.126	94.307	92.986	94.149	50091	0	10
2010.04.29	94.147	94.256	93.846	94.094	34209	0	10
2010.04.30	94.095	94.578	93.824	93.838	38368	0	9
2010.05.03	93.932	94.776	93.838	94.579	27890	0	9
2010.05.04	94.578	94.975	94.319	94.659	37918	0	10
2010.05.05	94.672	94.978	93.533	93.958	43661	0	10
2010.05.06	93.957	93.972	88.254	90.854	67075	0	13
2010.05.07	90.831	93.201	90.007	91.581	84359	0	16
2010.05.10	92.676	93.533	91.759	93.342	60346	0	10
2010.05.11	93.342	93.383	92.211	92.658	53507	0	9
2010.05.12	92.652	93.278	92.439	93.241	47595	0	13
2010.05.13	93.229	93.623	92.585	92.683	43034	0	10
2010.05.14	92.700	93.080	91.799	92.446	47745	0	11
2010.05.17	92.328	92.688	91.758	92.591	129194	0	10
2010.05.18	92.584	92.962	91.907	92.041	52971	0	10
2010.05.19	92.060	92.144	90.950	91.800	39327	0	11
2010.05.20	91.780	91.870	88.995	89.256	39873	0	14
2010.05.21	89.260	90.468	89.219	89.975	62028	0	14
2010.05.24	90.166	90.608	89.740	90.263	41550	0	10
2010.05.25	90.262	90.464	89.279	90.301	50577	0	11
2010.05.26	90.301	90.663	89.808	89.971	46678	0	13
2010.05.27	89.968	91.075	89.895	90.951	53121	0	10
2010.05.28	90.951	91.400	90.600	91.049	45323	0	10
2010.05.31	90.976	91.604	90.916	91.161	34560	0	14
2010.06.01	91.151	91.445	90.533	90.987	58175	0	12
2010.06.02	90.987	92.348	90.986	92.219	54719	0	10
2010.06.03	92.216	92.798	92.036	92.564	51144	1619410000	6
2010.06.04	92.565	92.877	91.417	91.885	48821	0	10
2010.06.07	91.849	92.074	90.977	91.462	59159	0	10
2010.06.08	91.476	91.917	90.848	91.525	56951	0	11
2010.06.09	91.516	91.663	91.050	91.305	47275	0	10
2010.06.10	91.309	91.462	90.846	91.388	53336	0	11
2010.06.11	91.358	91.766	91.248	91.644	57795	0	10
2010.06.14	91.719	92.104	91.412	91.616	42423	0	10
2010.06.15	91.624	91.684	91.077	91.511	68502	10500000	6
2010.06.16	91.525	91.811	91.097	91.382	37234	0	11
2010.06.17	91.382	91.431	90.508	90.899	39386	0	10
2010.06.18	90.901	90.947	90.439	90.695	33296	0	10
2010.06.21	90.428	91.465	90.285	91.021	44292	0	10
2010.06.22	91.020	91.093	90.327	90.504	35261	0	10
2010.06.23	90.498	90.572	89.729	89.931	27075	0	10
2010.06.24	89.924	89.968	89.221	89.598	38469	0	10
2010.06.25	89.595	89.764	89.217	89.223	32127	0	10
2010.06.28	89.301	89.453	89.058	89.357	31041	0	6
2010.06.29	89.367	89.404	88.279	88.546	38422	0	14
2010.06.30	88.530	88.760	88.356	88.400	42019	0	14
2010.07.01	88.399	88.549	86.963	87.744	48980	0	8
2010.07.02	87.746	88.197	87.326	87.738	40350	0	7
2010.07.05	87.719	87.997	87.627	87.762	17219	0	9
2010.07.06	87.757	87.971	87.345	87.574	36626	0	10
2010.07.07	87.567	87.804	87.015	87.760	37628	0	9
2010.07.08	87.756	88.642	87.659	88.439	39290	0	6
2010.07.09	88.438	88.695	88.367	88.610	29274	0	6
2010.07.12	88.678	89.145	88.384	88.625	29937	0	8
2010.07.13	88.646	88.859	88.025	88.676	94626	85094601000	6
2010.07.14	88.664	89.097	88.070	88.398	35667	0	16
2010.07.15	88.393	88.399	87.224	87.366	41035	0	10
2010.07.16	87.374	87.493	86.262	86.564	38072	0	10
2010.07.19	86.600	87.209	86.474	86.761	32369	0	10
2010.07.20	86.746	87.563	86.682	87.440	38108	0	10
2010.07.21	87.410	87.430	86.860	86.966	36789	0	10
2010.07.22	86.966	87.208	86.337	87.032	35953	0	10
2010.07.23	87.027	87.492	86.730	87.455	37738	0	10
2010.07.26	87.530	87.709	86.818	86.959	31440	0	10
2010.07.27	86.955	87.967	86.823	87.848	33591	0	10
2010.07.28	87.842	88.110	87.256	87.359	36066	0	10
2010.07.29	87.359	87.500	86.563	86.887	32395	0	10
2010.07.30	86.887	86.912	85.980	86.458	36749	0	10
2010.08.02	86.410	86.871	86.314	86.417	27276	0	10
2010.08.03	86.417	86.644	85.666	85.816	30499	0	10
2010.08.04	85.811	86.375	85.318	86.313	31316	0	10
2010.08.05	86.318	86.442	85.708	85.848	29059	0	10
2010.08.06	85.846	86.171	85.016	85.497	29005	0	10
2010.08.09	85.370	85.978	85.295	85.922	21714	0	9
2010.08.10	85.921	86.222	85.176	85.317	32226	0	10
2010.08.11	85.318	85.456	84.719	85.249	38919	0	10
2010.08.12	85.252	85.977	84.927	85.876	36510	0	10
2010.08.13	85.857	86.365	85.562	86.185	30159	0	10
2010.08.16	86.221	86.221	85.204	85.328	26952	0	10
2010.08.17	85.339	85.667	85.110	85.557	28715	0	10
2010.08.18	85.560	85.672	85.185	85.381	26226	0	10
2010.08.19	85.381	85.908	84.885	85.286	33473	0	10
2010.08.20	85.289	85.811	85.186	85.608	29054	0	10
2010.08.23	85.600	85.657	85.057	85.097	25633	0	10
2010.08.24	85.124	85.182	83.619	84.138	40404	0	10
2010.08.25	84.130	84.824	84.087	84.595	39691	0	10
2010.08.26	84.588	84.876	84.320	84.461	32218	0	10
2010.08.27	84.440	85.447	84.269	85.215	38684	0	10
2010.08.30	85.350	85.894	84.499	84.542	33131	0	9
2010.08.31	84.544	84.654	83.821	84.169	37972	0	10
2010.09.01	84.170	84.656	83.666	84.444	33985	0	10
2010.09.02	84.439	84.546	83.994	84.291	28872	0	10
2010.09.03	84.271	85.216	84.161	84.297	25373	0	10
2010.09.06	84.330	84.484	84.041	84.114	16910	0	10
2010.09.07	84.128	84.249	83.508	83.771	28668	0	10
2010.09.08	83.785	84.033	83.338	83.852	36018	0	10
2010.09.09	83.856	84.015	83.486	83.828	32648	0	10
2010.09.10	83.824	84.371	83.745	84.138	31413	0	10
2010.09.13	84.170	84.354	83.502	83.732	31958	0	10
2010.09.14	83.738	83.744	82.920	83.016	36918	0	10
2010.09.15	83.020	85.763	82.869	85.728	53616	0	10
2010.09.16	85.731	85.916	85.224	85.818	37513	0	9
2010.09.17	85.816	85.922	85.590	85.842	31669	0	10
2010.09.20	85.740	85.796	85.500	85.675	17006	0	10
2010.09.21	85.679	85.762	84.974	85.149	32948	0	10
2010.09.22	85.143	85.173	84.267	84.532	26057	0	10
2010.09.23	84.537	84.665	84.258	84.396	28939	0	10
2010.09.24	84.388	85.376	84.118	84.199	17761	0	10
2010.09.27	84.290	84.384	84.107	84.271	27418	0	10
2010.09.28	84.271	84.337	83.691	83.821	28014	0	10
2010.09.29	83.815	84.076	83.494	83.710	25685	0	10
2010.09.30	83.723	83.806	83.162	83.489	35312	0	10
2010.10.01	83.491	83.569	83.156	83.208	31320	0	10
2010.10.04	83.260	83.858	83.179	83.414	28624	0	10
2010.10.05	83.416	83.972	82.956	83.217	36814	0	10
2010.10.06	83.210	83.259	82.759	82.905	33428	0	9
2010.10.07	82.907	83.017	82.106	82.304	37683	0	10
2010.10.08	82.296	82.556	81.719	82.070	29460	0	10
2010.10.11	81.560	82.174	81.530	82.067	14555	0	10
2010.10.12	82.076	82.338	81.659	81.823	33968	0	10
2010.10.13	81.818	81.996	81.709	81.794	28485	0	10
2010.10.14	81.793	81.836	80.881	81.451	34656	0	10
2010.10.15	81.455	81.614	80.896	81.437	28422	0	10
2010.10.18	81.435	81.468	81.122	81.263	29117	0	11
2010.10.19	81.271	81.913	81.135	81.610	36885	0	9
2010.10.20	81.610	81.653	80.839	81.137	32937	0	10
2010.10.21	81.132	81.812	80.912	81.284	38478	0	10
2010.10.22	81.285	81.496	80.985	81.358	31705	0	10
2010.10.25	81.375	81.390	80.405	80.788	37487	0	10
2010.10.26	80.793	81.645	80.611	81.401	43653	0	10
2010.10.27	81.400	81.975	81.307	81.703	49290	0	9
2010.10.28	81.705	81.756	80.860	81.009	40949	0	10
2010.10.29	81.011	81.063	80.376	80.389	43845	0	9
2010.11.01	80.357	81.410	80.295	80.551	42612	0	9
2010.11.02	80.551	80.953	80.484	80.663	43164	0	10
2010.11.03	80.660	81.547	80.593	81.073	52656	0	10
2010.11.04	81.073	81.212	80.582	80.752	57888	0	10
2010.11.05	80.741	81.458	80.616	81.252	47607	0	10
2010.11.08	81.274	81.425	81.000	81.135	43539	0	10
2010.11.09	81.146	81.955	80.530	81.636	54883	0	10
2010.11.10	81.639	82.786	81.546	82.230	58976	0	10
2010.11.11	82.222	82.597	82.034	82.492	48398	0	10
2010.11.12	82.489	82.648	81.646	82.518	58022	0	11
2010.11.15	82.493	83.252	82.391	83.130	53079	0	9
2010.11.16	83.138	83.585	82.846	83.373	60294	0	9
2010.11.17	83.373	83.546	83.031	83.164	52561	0	9
2010.11.18	83.164	83.775	83.099	83.458	63066	0	10
2010.11.19	83.456	83.635	83.136	83.536	54192	0	10
2010.11.22	83.426	83.556	83.225	83.270	58136	0	10
2010.11.23	83.270	83.836	82.782	83.128	60931	0	10
2010.11.24	83.125	83.653	82.940	83.549	66914	0	10
2010.11.25	83.552	83.688	83.397	83.651	46245	0	10
2010.11.26	83.653	84.178	83.630	84.095	51627	0	10
2010.11.29	84.043	84.398	83.817	84.253	54941	0	9
2010.11.30	84.250	84.283	83.416	83.659	71275	0	10
2010.12.01	83.659	84.380	83.377	84.157	75049	0	10
2010.12.02	84.156	84.355	83.487	83.825	70055	0	10
2010.12.03	83.829	83.853	82.518	82.525	68264	0	10
2010.12.06	82.690	82.980	82.568	82.619	61280	0	10
2010.12.07	82.621	83.653	82.336	83.472	72885	0	10
2010.12.08	83.474	84.296	83.461	84.039	71487	0	10
2010.12.09	84.039	84.105	83.512	83.749	63212	0	10
2010.12.10	83.754	84.010	83.448	83.937	53842	0	10
2010.12.13	83.988	84.342	83.102	83.458	60857	0	10
2010.12.14	83.458	83.765	82.838	83.634	60486	0	8
2010.12.15	83.629	84.494	83.623	84.289	65225	0	6
2010.12.16	84.289	84.437	83.889	84.004	60273	0	4
2010.12.17	84.004	84.197	83.687	83.976	59256	0	10
2010.12.20	83.984	84.109	83.629	83.776	55557	0	10
2010.12.21	83.775	83.901	83.497	83.740	54064	0	9
2010.12.22	83.741	83.846	83.411	83.555	52171	0	10
2010.12.23	83.563	83.570	82.856	83.004	48308	0	10
2010.12.24	83.004	83.153	82.856	82.875	30359	0	10
2010.12.27	82.899	82.967	82.645	82.781	43044	0	10
2010.12.28	82.780	82.794	81.814	82.419	51852	0	9
2010.12.29	82.399	82.420	81.598	81.657	44365	0	10
2010.12.30	81.659	81.847	81.286	81.491	49716	0	10
2010.12.31	81.494	81.537	80.934	81.126	31125	0	10
2011.01.03	81.106	81.746	81.071	81.732	38284	0	10
2011.01.04	81.733	82.275	81.608	82.089	56394	0	9
2011.01.05	82.085	83.369	81.879	83.218	60065	0	9
2011.01.06	83.217	83.386	82.878	83.274	54985	0	9
2011.01.07	83.267	83.674	82.850	83.133	59916	0	9
2011.01.10	83.138	83.274	82.665	82.689	47813	0	9
2011.01.11	82.684	83.488	82.681	83.326	50130	0	9
2011.01.12	83.326	83.459	82.808	83.023	52824	0	9
2011.01.13	83.023	83.146	82.547	82.759	54080	0	9
2011.01.14	82.756	83.059	82.408	82.847	58408	0	9
2011.01.17	82.880	82.999	82.367	82.680	50504	0	8
2011.01.18	82.681	82.813	82.328	82.602	64018	0	9
2011.01.19	82.597	82.679	81.846	82.099	68572	0	10
2011.01.20	82.099	83.113	82.036	82.976	67405	0	9
2011.01.21	82.975	83.078	82.526	82.552	63860	0	10
2011.01.24	82.661	82.913	82.301	82.529	59613	0	10
2011.01.25	82.528	82.658	81.975	82.193	69347	0	10
2011.01.26	82.194	82.598	81.976	82.238	67335	0	9
2011.01.27	82.223	83.196	82.017	82.832	72542	0	7
2011.01.28	82.832	82.918	81.987	82.111	70789	0	4
2011.01.31	82.134	82.249	81.901	82.055	70793	0	9
2011.02.01	82.054	82.142	81.307	81.358	72492	0	10
2011.02.02	81.360	81.851	81.355	81.539	67605	0	9
2011.02.03	81.540	82.051	81.399	81.620	62337	0	10
2011.02.04	81.619	82.448	81.129	82.162	47922	0	9
2011.02.07	82.247	82.459	82.153	82.332	44345	0	9
2011.02.08	82.327	82.415	81.775	82.278	42347	0	9
2011.02.09	82.287	82.657	82.204	82.355	45750	0	10
2011.02.10	82.352	83.358	82.332	83.340	61329	0	10
2011.02.11	83.340	83.666	83.235	83.418	39344	0	9
2011.02.14	83.451	83.491	83.093	83.270	58436	0	10
2011.02.15	83.271	83.909	83.192	83.740	58331	0	9
2011.02.16	83.699	83.964	83.491	83.661	57350	0	9
2011.02.17	83.662	83.728	83.157	83.317	46613	0	9
2011.02.18	83.316	83.512	83.027	83.162	49069	0	10
2011.02.21	83.111	83.527	83.016	83.131	44595	0	10
2011.02.22	83.129	83.419	82.577	82.769	67790	0	9
2011.02.23	82.771	82.881	82.314	82.410	57615	0	10
2011.02.24	82.411	82.473	81.621	81.907	61333	0	9
2011.02.25	81.917	82.055	81.639	81.662	54277	0	10
2011.02.28	81.670	81.972	81.616	81.764	57956	0	9
2011.03.01	81.761	82.228	81.729	81.902	67234	0	10
2011.03.02	81.896	82.107	81.576	81.809	55700	0	10
2011.03.03	81.803	82.507	81.721	82.395	59572	0	9
2011.03.04	82.401	83.026	82.208	82.303	53847	0	9
2011.03.07	82.221	82.381	81.947	82.305	62664	0	9
2011.03.08	82.307	82.847	82.206	82.668	57549	0	10
2011.03.09	82.675	82.926	82.569	82.756	59270	0	10
2011.03.10	82.758	83.163	82.694	82.896	66045	0	10
2011.03.11	82.896	83.287	81.651	81.867	68770	0	10
2011.03.14	81.477	82.426	81.201	81.714	70139	0	9
2011.03.15	81.712	81.958	80.605	80.780	84141	0	10
2011.03.16	80.775	81.162	76.404	78.473	87950	0	10
2011.03.17	78.470	79.729	78.253	79.168	112113	0	13
2011.03.18	79.167	81.957	79.089	80.582	90733	0	9
2011.03.21	80.867	81.310	80.744	81.248	55037	0	10
2011.03.22	81.248	81.277	80.845	81.038	59528	0	10
2011.03.23	81.039	81.061	80.698	80.931	64088	0	10
2011.03.24	80.932	81.048	80.760	80.986	56331	0	9
2011.03.25	80.985	81.484	80.871	81.330	49277	0	10
2011.03.28	81.393	81.840	81.377	81.720	50002	0	10
2011.03.29	81.718	82.473	81.536	82.464	58068	0	9
2011.03.30	82.461	83.180	82.363	82.916	65715	0	10
2011.03.31	82.918	83.213	82.564	83.171	66617	0	10
2011.04.01	83.171	84.713	83.160	84.042	64001	0	9
2011.04.04	84.131	84.364	83.851	84.142	53607	0	10
2011.04.05	84.142	85.217	84.052	85.159	51215	0	9
2011.04.06	85.159	85.514	84.838	85.402	58347	0	9
2011.04.07	85.404	85.492	84.588	85.019	60464	0	9
2011.04.08	85.018	85.386	84.675	84.761	54355	0	9
2011.04.11	84.901	85.147	84.510	84.655	49466	0	9
2011.04.12	84.657	84.776	83.464	83.555	70259	0	9
2011.04.13	83.555	84.258	83.498	83.925	61719	0	9
2011.04.14	83.917	83.917	82.957	83.486	65328	0	10
2011.04.15	83.488	83.770	82.958	83.114	52896	0	9
2011.04.18	83.130	83.251	82.181	82.486	58627	0	9
2011.04.19	82.498	82.744	82.315	82.564	54524	0	9
2011.04.20	82.568	83.093	82.263	82.540	55855	0	9
2011.04.21	82.540	82.563	81.617	81.880	52724	0	9
2011.04.22	81.880	82.102	81.661	81.841	26164	0	10
2011.04.25	81.814	82.418	81.658	81.811	42000	0	10
2011.04.26	81.809	81.968	81.483	81.593	47369	0	9
2011.04.27	81.594	82.761	81.264	82.257	57335	0	9
2011.04.28	82.232	82.267	81.399	81.543	55067	9620929000	6
2011.04.29	81.543	81.644	81.032	81.181	32047	0	9
2011.05.02	81.099	81.682	80.996	81.253	48275	0	10
2011.05.03	81.247	81.263	80.694	80.958	41049	0	10
2011.05.04	80.960	81.188	80.431	80.633	42579	0	9
2011.05.05	80.637	80.686	79.582	80.325	55641	0	9
2011.05.06	80.310	80.915	80.200	80.610	67521	0	9
2011.05.09	80.678	80.831	80.175	80.266	59687	0	10
2011.05.10	80.263	80.890	80.155	80.857	68289	0	10
2011.05.11	80.855	81.312	80.614	81.144	64124	0	9
2011.05.12	81.146	81.324	80.705	80.989	51869	0	9
2011.05.13	80.988	81.081	80.367	80.758	42347	0	10
2011.05.16	80.839	81.055	80.626	80.851	45692	0	9
2011.05.17	80.851	81.761	80.731	81.422	42905	0	7
2011.05.18	81.407	81.738	80.938	81.671	18123	0	6
2011.05.19	81.674	82.229	81.468	81.672	18408	0	6
2011.05.20	81.653	81.860	81.478	81.687	15460	0	6
2011.05.23	81.750	82.038	81.318	81.935	19166	0	6
2011.05.24	81.934	82.210	81.610	82.003	16362	0	6
2011.05.25	81.997	82.168	81.790	82.034	31401	0	6
2011.05.26	82.032	82.075	81.147	81.367	64227	0	7
2011.05.27	81.355	81.367	80.703	80.762	58088	0	10
2011.05.30	80.806	80.975	80.750	80.940	42654	0	10
2011.05.31	80.943	81.763	80.707	81.499	61240	0	9
2011.06.01	81.493	81.494	80.682	80.868	61937	0	9
2011.06.02	80.865	81.306	80.563	80.955	59540	0	9
2011.06.03	80.951	81.001	80.055	80.263	43750	0	9
2011.06.06	80.240	80.386	79.983	80.105	50142	0	9
2011.06.07	80.107	80.326	79.981	80.112	43178	0	9
2011.06.08	80.111	80.267	79.694	79.906	46800	0	10
2011.06.09	79.909	80.413	79.831	80.364	39563	0	9
2011.06.10	80.364	80.450	79.964	80.305	37761	0	9
2011.06.13	80.292	80.681	80.111	80.210	58080	0	10
2011.06.14	80.211	80.616	80.085	80.520	55793	0	10
2011.06.15	80.522	81.047	80.375	80.963	54142	0	9
2011.06.16	80.963	81.023	80.481	80.602	70567	0	10
2011.06.17	80.601	80.665	80.021	80.045	55596	0	9
2011.06.20	80.120	80.359	80.020	80.267	52100	0	9
2011.06.21	80.268	80.325	80.045	80.240	45389	0	9
2011.06.22	80.238	80.373	80.009	80.320	48738	0	9
2011.06.23	80.310	80.787	80.300	80.407	55128	0	9
2011.06.24	80.406	80.597	80.134	80.406	49338	0	9
2011.06.27	80.411	80.971	80.409	80.900	48609	0	9
2011.06.28	80.903	81.258	80.660	81.032	46793	0	9
2011.06.29	81.032	81.182	80.566	80.790	41479	0	9
2011.06.30	80.792	80.844	80.255	80.558	48281	0	10
2011.07.01	80.558	81.135	80.521	80.819	40093	0	9
2011.07.04	80.802	80.889	80.532	80.736	41772	0	9
2011.07.05	80.736	81.183	80.699	81.081	45928	0	9
2011.07.06	81.078	81.112	80.764	80.932	43195	0	9
2011.07.07	80.935	81.405	80.784	81.223	40764	0	9
2011.07.08	81.222	81.467	80.495	80.592	44231	0	10
2011.07.11	80.540	80.827	80.100	80.233	47987	0	9
2011.07.12	80.228	80.363	78.522	79.143	64475	0	10
2011.07.13	79.145	79.567	78.649	78.672	58224	0	9
2011.07.14	78.669	79.576	78.463	79.145	52452	0	9
2011.07.15	79.127	79.271	78.890	79.121	35633	0	9
2011.07.18	79.078	79.174	78.944	79.055	41705	0	7
2011.07.19	79.053	79.263	78.820	79.157	40099	0	7
2011.07.20	79.154	79.304	78.705	78.834	33619	0	9
2011.07.21	78.838	79.025	78.223	78.542	42452	0	9
2011.07.22	78.540	78.720	78.277	78.530	33489	0	9
2011.07.25	78.228	78.547	78.052	78.237	35813	0	9
2011.07.26	78.234	78.637	77.825	77.943	35914	0	14
2011.07.27	77.943	78.156	77.569	77.902	37167	4944600000	7
2011.07.28	77.902	78.022	77.620	77.687	47125	22742370000	6
2011.07.29	77.685	77.853	76.722	76.768	41444	0	9
2011.08.01	77.391	78.021	76.292	77.381	53376	0	9
2011.08.02	77.379	77.773	76.956	77.369	49793	0	9
2011.08.03	77.367	77.392	76.780	76.973	48581	0	9
2011.08.04	76.980	80.228	76.967	79.179	90589	35322860404	6
2011.08.05	79.164	79.385	78.323	78.386	70189	0	9
2011.08.08	78.160	78.431	77.494	77.839	71961	0	9
2011.08.09	77.841	77.844	76.699	77.246	89850	0	10
2011.08.10	77.248	77.298	76.347	76.767	73582	0	10
2011.08.11	76.766	77.192	76.303	76.874	72994	0	10
2011.08.12	76.869	77.011	76.504	76.673	54982	0	10
2011.08.15	76.902	77.086	76.580	76.794	52586	0	9
2011.08.16	76.802	76.919	76.643	76.816	52696	0	10
2011.08.17	76.815	76.815	76.402	76.580	50470	0	10
2011.08.18	76.581	76.690	76.441	76.528	52602	0	10
2011.08.19	76.527	76.916	75.957	76.533	59210	0	10
2011.08.22	76.814	77.148	76.555	76.833	53094	0	10
2011.08.23	76.833	76.927	76.461	76.651	51623	0	10
2011.08.24	76.650	77.057	76.463	76.950	51775	0	10
2011.08.25	76.949	77.689	76.837	77.437	53445	0	10
2011.08.26	77.437	77.449	76.492	76.602	49954	0	10
2011.08.29	76.685	77.001	76.566	76.934	46084	25099858000	7
2011.08.30	76.934	76.978	76.553	76.703	64965	99311899000	6
2011.08.31	76.702	76.839	76.420	76.732	66875	90226067639	6
2011.09.01	76.731	77.216	76.695	76.858	56726	0	10
2011.09.02	76.858	76.959	76.523	76.780	47830	0	9
2011.09.05	76.893	76.969	76.684	76.896	42011	0	10
2011.09.06	76.898	77.717	76.709	77.621	60699	0	10
2011.09.07	77.621	77.623	77.067	77.310	57088	0	10
2011.09.08	77.310	77.581	77.132	77.502	55527	0	10
2011.09.09	77.501	77.849	77.089	77.570	59258	0	10
2011.09.12	77.503	77.579	76.743	77.117	63990	0	9
2011.09.13	77.117	77.244	76.794	76.901	58150	0	10
2011.09.14	76.901	77.049	76.595	76.692	51001	0	11
2011.09.15	76.689	77.255	76.548	76.711	50920	0	11
2011.09.16	76.709	76.964	76.660	76.764	48989	0	10
2011.09.19	76.916	76.974	76.322	76.561	44085	0	10
2011.09.20	76.566	76.752	76.348	76.436	53715	0	10
2011.09.21	76.436	76.723	76.120	76.432	54997	0	13
2011.09.22	76.431	76.953	76.094	76.272	67442	0	10
2011.09.23	76.272	76.870	76.140	76.540	50182	0	10
2011.09.26	76.535	76.753	76.225	76.369	63337	0	10
2011.09.27	76.373	76.925	76.254	76.731	57196	0	10
2011.09.28	76.735	76.857	76.325	76.530	56321	0	10
2011.09.29	76.536	77.011	76.401	76.827	55895	0	9
2011.09.30	76.827	77.189	76.491	76.989	56609	0	10
2011.10.03	77.095	77.249	76.510	76.620	61564	0	10
2011.10.04	76.615	76.971	76.530	76.836	58004	0	10
2011.10.05	76.835	77.056	76.610	76.781	51658	0	9
2011.10.06	76.784	76.832	76.553	76.676	51527	0	10
2011.10.07	76.677	76.897	76.576	76.711	45639	0	12
2011.10.10	76.797	76.848	76.561	76.668	38114	0	10
2011.10.11	76.666	76.744	76.592	76.672	43746	0	19
2011.10.12	76.674	77.480	76.325	77.246	55304	0	10
2011.10.13	77.249	77.285	76.672	76.864	52926	0	9
2011.10.14	76.866	77.441	76.842	77.182	47757	0	10
2011.10.17	77.129	77.447	76.619	76.823	53561	0	10
2011.10.18	76.823	76.899	76.617	76.776	51891	0	9
2011.10.19	76.777	76.849	76.649	76.822	44649	0	20
2011.10.20	76.822	77.081	76.670	76.834	51253	0	10
2011.10.21	76.832	76.905	75.810	76.249	48078	0	10
2011.10.24	76.171	76.466	75.985	76.106	48362	0	10
2011.10.25	76.106	76.282	75.737	76.070	50868	0	10
2011.10.26	76.070	76.307	75.713	76.250	54461	0	10
2011.10.27	76.250	76.267	75.652	75.954	58392	0	10
2011.10.28	75.955	75.989	75.664	75.783	42246	0	10
2011.10.31	75.694	79.523	75.570	78.172	78147	0	10
